author_searched,title,description,categories,author_avg_rating,author_rating_count,author_total_reviews,book_avg_rating,num_pages,book_published_year
Chinua Achebe,No Longer at Ease,"Obi, som efter studietiden i England vender hjem til Nigeria og får ansættelse i administrationen, anklages for korruption og føres for retten",'City and town life',3.76,452578,27163,2.0,164,1987
Chinua Achebe,A Man of the People,"By the renowned author of Things Fall Apart, this novel foreshadows the Nigerian coups of 1966 and shows the color and vivacity as well as the violence and corruption of a society making its own way between the two worlds. In the landscape of Western Africa, two political traditions collide: the old bush politians against the new intelellectual generation, and a mentor and his protegee must wage the war. Achebe details one society's struggle with the inner turmoil created in the wake of the new-found freedom from the colonial order. This is a story about national identity and political unity.",'Fiction',3.76,452578,27163,4.0,164,1988
Chinua Achebe,There Was a Country,"From the legendary author of Things Fall Apart comes this long-awaited memoir recalling Chinua Achebe's personal experiences of and reflections on the Biafran War, one of Nigeria's most tragic civil wars Chinua Achebe, the author of Things Fall Apart, was a writer whose moral courage and storytelling gifts have left an enduring stamp on world literature. There Was a Country was his long-awaited account of coming of age during the defining experience of his life: the Nigerian Civil War, also known as the Biafran War of 1967-1970. It became infamous around the world for its impact on the Biafrans, who were starved to death by the Nigerian government in one of the twentieth century's greatest humanitarian disasters. Caught up in the atrocities were Chinua Achebe and his young family. Achebe, already a world-renowned novelist, served his Biafran homeland as a roving cultural ambassador, witnessing the war's full horror first-hand. Immediately after the war, he took an academic post in the United States, and for over forty years he maintained a considered silence on those terrible years, addressing them only obliquely through his poetry. After years in the making There Was A Country presents his towering reckoning with one of modern Africa's most fateful experiences, both as he lived it and came to understand it. Marrying history and memoir, with the author's poetry woven throughout, There Was a Country is a distillation of vivid observation and considered research and reflection. It relates Nigeria's birth pangs in the context of Achebe's own development as a man and a writer, and examines the role of the artist in times of war. Reviews: 'No writer is better placed than Chinua Achebe to tell the story of the Nigerian Biafran war ... [The book] makes you pine for the likes of Achebe to govern ... We have in There Was a Country an elegy from a master storyteller who has witnessed the undulating fortunes of a nation' Noo Saro-Wiwa, Guardian 'Chinua Achebe's history of Biafra is a meditation on the condition of freedom. It has the tense narrative grip of the best fiction. It is also a revelatory entry into the intimate character of the writer's brilliant mind and bold spirit. Achebe has created here a new genre of literature' Nadine Gordimer 'Part-history, part-memoir, [Achebe's] moving account of the war is laced with anger, but there is also an abiding tone of regret for what Nigeria might have been without conflict and mismanagement' Sunday Times About the author: Chinua Achebe was born in Nigeria in 1930. He published novels, short stories, essays, and children's books. His volume of poetry, Christmas in Biafra, was the joint winner of the first Commonwealth Poetry Prize. Of his novels, Arrow of God won the New Statesman-Jock Campbell Award, and Anthills of the Savannah was a finalist for the 1987 Booker Prize. Things Fall Apart, Achebe's masterpiece, has been published in fifty different languages and has sold more than ten million copies. Achebe lectured widely, receiving many honors from around the world. He was the recipient of the Nigerian National Merit Award, Nigeria's highest award for intellectual achievement. In 2007, he won the Man Booker International Prize. He died in 2013.",'Biography & Autobiography',3.76,452578,27163,4.5,329,2012
Chinua Achebe,Another Africa,"Two great talents have joined together to create a unique d gorgeous book that fuses photographs, poetry, and text to create a view of present-day Africa that moves beyond the stereotypes commonly held by most Westerners. There are no shots of beautiful sand dunes and tropical savannas where herds of wildlife roam. Instead, this work peels away myths to explore the complexity, diversity, and human dimensions of a place called Africa -- one that celebrates the commonplace and exotic simultaneously. The ninety full-color photographs are highly subjective, a personal investigation that reflects the sensibilities, formal concerns, and the ongoing engagement of the photographer Robert Lyons. With the brilliant Chinua Achebe, a Nigerian, contributing his never-before-published poems and an essay, the book takes on another dimension. He presents a concise view of Africa today, including the individual and political issues facing its countries. His poems and his essay, written specifically for this book, deal with Africa on its own terms -- from within.This beautifully produced book with text by a ""magical writer -- one of the greatest of the twentieth century"" (Margaret Atwood) will be irresistible to anyone interested in Africa.",'Photography',3.76,452578,27163,5.0,465,2013
Chinua Achebe,Girls at War,"Full of characteristic energy and authenticity, the stories in this classic collection capture the remarkable talent of one of the world's most acclaimed writers and storytellers. Here we read of an ambitious farmer who is suddenly shunned by his village when a madman exacts his humiliating revenge; a young nanny who is promised an education by her well-to-do employers, only to be cruelly cheated out of it; and in three fiercely observed stories about the Nigerian civil war, we are confronted with the economic, ethnic, cultural, and religious tensions that continue to rack modern Africa. Displaying an astonishing range of experience, Chinua Achebe deftly takes us inside the heart and soul of a people whose pride and ideals must compete with the simple struggle to survive.",'Fiction',3.76,452578,27163,5.0,132,1991
Chinua Achebe,Arrow of God,"Set in the Ibo heartland of eastern Nigeria, one of Africa's best-known writers describes the conflict between old and new in its most poignant aspect: the personal struggle between father and son. The third book in Achebe's ""African Trilogy"", following Things Fall Apart and No Longer at Ease, Arrow of God is the story of Ezeulu, the chief priest of several villages who wrestles with colonial powers as he butts heads with Christian missionaries dispatched to the area. A fictional discussion of Colonial rule in 1920's Nigeria, Achebe brings religion and family relations into a discussion of politics and national identity.",'Fiction',3.76,452578,27163,3.0,244,1986
Chinua Achebe,Collected Poems,"A collection of poetry spanning the full range of the African-born author's acclaimed career has been updated to include seven never-before-published works, as well as much of his early poetry that explores such themes as the African consciousness, the tragedy of Biafra, and the mysteries of human relationships. Original. 20,000 first printing.",'Poetry',3.76,452578,27163,1.0,738,1996
Chinua Achebe,"Things Fall Apart, Chinua Achebe",A reading and study guide for Chinua Achebe's novel Things Fall Apart.,'Literary Criticism',3.76,452578,27163,3.5,212,1996
Chinua Achebe,Things Fall Apart SparkNotes Literature Guide,"Things Fall Apart SparkNotes Literature Guide by Chinua Achebe Making the reading experience fun! When a paper is due, and dreaded exams loom, here's the lit-crit help students need to succeed! SparkNotes Literature Guides make studying smarter, better, and faster. They provide chapter-by-chapter analysis; explanations of key themes, motifs, and symbols; a review quiz; and essay topics. Lively and accessible, SparkNotes is perfect for late-night studying and paper writing. Includes: An A+ Essay—an actual literary essay written about the Spark-ed book—to show students how a paper should be written. 16 pages devoted to writing a literary essay including: a glossary of literary terms Step-by-step tutoring on how to write a literary essay A feature on how not to plagiarize",'Study Aids',3.76,452578,27163,5.0,1306,2003
Chimamanda Ngozi Adichie,Purple Hibiscus,"Fifteen-year-old Kambili's world is circumscribed by the high walls of her family compound and the frangipani trees she can see from her bedroom window. Her wealthy Catholic father, although generous and well-respected, is repressive and fanatically religious. Her life is lived under his shadow and regulated by schedules: prayer, sleep, study, and more prayer. When Nigeria begins to fall apart under a military coup, Kambili's father, involved in mysterious ways with the unfolding political crisis, sends Kambili and her brother away to their aunt's. The house is noisy and full of laughter. Here she discovers love and a life beyond the confines of her father's authority.",'Aunts',4.31,1295770,119314,5.0,321,2012
Chimamanda Ngozi Adichie,We Should All Be Feminists: A Guided Journal,"From the bestselling author and global feminist icon—an illustrated journal containing her most powerful and inspiring quotes, as well an introduction written expressly for this inspirational diary. From her award-winning novels, including Half of a Yellow Sun and Americanah, to her stirring calls to arms We Should All Be Feminists and Dear Ijeawele; from her work with Beyoncé to sharing the stage with Michelle Obama, Chimamanda Ngozi Adichie is one of the most empowering and iconic feminist figures of our time. Now, in this beautiful journal, Adichie's words will inspire you to be your own best self: to stand up and be truly heard. As Chimamanda says, ""It's not your job to be likable. It's your job to be yourself.""",'Social Science',4.31,1295770,119314,4.5,562,2010
Chimamanda Ngozi Adichie,One World,"This book is made up of twenty-three stories, each from a different author from across the globe. All belong to one world, united in their diversity and ethnicity. And together they have one aim: to involve and move the reader. The range of authors takes in such literary greats as Chimamanda Ngozi Adichie and Jhumpa Lahiri, and emerging authors such as Elaine Chiew, Petina Gappah, and Henrietta Rose-Innes. The members of the collective are: Elaine Chiew (Malaysia) Molara Wood (Nigeria) Jhumpa Lahiri (United States) Martin A Ramos (Puerto Rico) Lauri Kubutsile (Botswana) Chika Unigwe (Nigeria) Ravi Mangla (United States) Chimamanda Ngozi Adichie (Nigeria) Skye Brannon (United States) Jude Dibia (Nigeria) Shabnam Nadiya (Bangladesh) Petina Gappah (Zimbabwe) Ivan Gabirel Reborek (Australia) Vanessa Gebbie (Britain) Emmanual Dipita Kwa (Cameroon) Henrietta Rose-Innes (South Africa) Lucinda Nelson Dhavan (India) Adetokunbo Abiola (Nigeria) Wadzanai Mhute (Zimbabwe) Konstantinos Tzikas (Greece) Ken Kamoche (Kenya) Sequoia Nagamatsu (United States) Ovo Adagha (Nigeria) From the Introduction: The concept of One World is often a multi-colored tapestry into which sundry, if not contending patterns can be woven. for those of us who worked on this project, ‘One World’ goes beyond the everyday notion of the globe as a physical geographic entity. Rather, we understand it as a universal idea, one that transcends national boundaries to comment on the most prevailing aspects of the human condition. This attempt to redefine the borders of the world we live in through the short story recognizes the many conflicting issues of race, language, economy, gender and ethnicity, which separate and limit us. We readily acknowledge, however, that regardless of our differences or the disparities in our stories, we are united by our humanity. We invite the reader on a personal journey across continents, countries, cultures and landscapes, to reflect on these beautiful, at times chaotic, renditions on the human experience. We hope the reach of this path will transcend the borders of each story, and perhaps function as an agent of change. Welcome to our world.",'Fiction',4.31,1295770,119314,5.0,641,2017
Chimamanda Ngozi Adichie,Freedom,"Bestselling authors bring together a thought-provoking collection of short stories, each inspired by one of thirty human rights adopted by the United Nations and promoted by Amnesty International. Freedom is a mix of thoughtful, serious, funny, and thrilling stories that harness the power of literature to celebrate—and affirm—our shared humanity. Published in association with Amnesty International, an array of internationally acclaimed & award-winning writers remind us these fundamental freedoms – ratified in 1948 – are just as crucial to protect and uphold today as ever. The United Nations took a moral stand against human rights crimes and adopted the Universal Declaration of Human Rights, a proclamation of thirty rights that belong to us all, starting memorably with Article 1: “All human beings are born free and equal.” Amnesty International is one of several international organizations promoting UDHR. It is a world-leading grassroots human rights organization & a global movement of millions of people demanding human rights for all people – no matter who they are or where they are. Authors include: Chimamanda Ngozi Adichie, Kate Atkinson, Ishmael Beah, Paulo Coelho, Nadine Gordimer, Marina Lewycka, Henning Mankell, Yann Martel, Rohinton Minstry, David Mitchell, Walter Mosley, Joyce Carol Oates.",'Fiction',4.31,1295770,119314,5.0,332,2022
George Orwell,Why I Write,"Why do writers write? In this candid and insightful essay, George Orwell reflects on the personal and political forces that shaped his work. Tracing his development from childhood ambition to fierce opposition against tyranny, he reveals the motivations behind his most famous books and the moral urgency that drives all great writing. Why I Write is both a personal confession and a timeless meditation on the power of words. GEORGE ORWELL was born in India in 1903 and passed away in London in 1950. As a journalist, critic, and author, he was a sharp commentator on his era and its political conditions and consequences.",'Fiction',4.11,10253035,305087,5.0,32,2021
George Orwell,ANIMAL FARM《动物庄园》,《動物庄園》（Animal Farm）亦譯作《動物農場》《動物農庄》，是英國著名作家喬治·奧威爾的重要作品，也是一部政治寓言體小說。故事描述了一場「動物主義」革命的醞釀、興起和最終畸變，於1945年首次岀版。 ◆「鯨歌英文原版」系列圖書第一輯，精選國內讀者耳熟能詳十本名著：《呼嘯山庄》《月亮和六便士》《簡·愛》《老人與海》《1984》《美麗新世界》《人性的弱點》《假如給我三天光明》《動物庄園》《飄》，以國外權威的出版社版本為參照，原版復制，精心編排，力求原汁原味還原外版圖書的風貌。 這十本書文筆優美，閱讀難度不高，非常適合有一定外語閱讀能力的讀者首次入門接觸外國小說。 喬治·奧威爾，英國著名小說家、記者和社會評論家。他的代表作《動物庄園》和《1984》是反極權主義的經典名著。他以敏銳的洞察力和犀利的文筆審視、記錄下他所生活的那個時代，並作出許多超越時代的預言，被稱為 「一代人的冷峻良知」。,'Literary Collections',4.11,10253035,305087,4.0,290,2005
George Orwell,Orwell's Nineteen Eighty-four,"Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmare vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life--the ubiquity of television, the distortion of the language--and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written. --Amazon.com.",'Fiction',4.11,10253035,305087,5.0,470,1982
George Orwell,Animal Farm a Fairy Story,"Animal Farm is an allegorical novella by George Orwell, first published in England on 17 August 1945. The book tells the story of a group of farm animals who rebel against their human farmer, hoping to create a society where the animals can be equal, free, and happy. Ultimately, however, the rebellion is betrayed, and the farm ends up in a state as bad as it was before, under the dictatorship of a pig named Napoleon. According to Orwell, the fable reflects events leading up to the Russian Revolution of 1917 and then on into the Stalinist era of the Soviet Union. Orwell, a democratic socialist, was a critic of Joseph Stalin and hostile to Moscow-directed Stalinism, an attitude that was critically shaped by his experiences during the Spanish Civil War. The Soviet Union, he believed, had become a brutal dictatorship built upon a cult of personality and enforced by a reign of terror. In a letter to Yvonne Davet, Orwell described Animal Farm as a satirical tale against Stalin (""un conte satirique contre Staline""), and in his essay ""Why I Write"" (1946), wrote that Animal Farm was the first book in which he tried, with full consciousness of what he was doing, ""to fuse political purpose and artistic purpose into one whole"".",'Political Science',4.11,10253035,305087,5.0,135,2000
George Orwell,"The Collected Essays, Journalism and Letters of George Orwell: An age like this, 1920-1940","Collec. essays,journalism,letters of G. Orwell.-v.1",'Great Britain',4.11,10253035,305087,5.0,100,2001
George Orwell,Nineteen Eighty Four Anniversary Edition,"First published in 1949, George Orwell's Nineteen Eighty-Four has lost none of the impact with which it first hit readers. Winston Smith works for the Ministry of Truth in London, chief city of Airstrip One. Big Brother stares out from every poster, the Thought Police uncover every act of betrayal. When Winston finds love with Julia, he discovers that life does not have to be dull and deadening, and awakens to new possibilities. Despite the police helicopters that hover and circle overhead, Winston and Julia begin to question the Party; they are drawn towards conspiracy. Yet Big Brother will not tolerate dissent - even in the mind. For those with original thoughts they invented Room 101. . .",'Fiction',4.11,10253035,305087,5.0,84,2001
George Orwell,Animal Farm: a Fairy Story (Illustrated),"""Animal Farm"" is a novel with regards to a gathering of animals who assume liability for the homestead they live on. The animals get exhausted of their lord, Farmer Jones, so they show him out. When they are liberated from the dictator Jones, life on the homestead is useful for some time and there is potential for a more joyful fate of less work, better training and more food. Nonetheless, inconvenience brews as the pigs, Napoleon and Snowball, battle for the hearts and brains of different animals on the homestead. Napoleon holds onto power forcibly and winds up... ""Animal Farm"" was composed by George Orwell and distributed in 1945 and it is considered by numerous his best book. This novel is a moral story - despite the fact that it is set on a homestead and stars a cast of livestock, it mirrors the occasions of the Russian upset of 1917. The creatures are for the most part cunning portrayals of Russian government officials, electors and laborers. Orwell utilized the novel to make his perspectives on Russian pioneers heard.",'Biography & Autobiography',4.11,10253035,305087,1.0,343,2011
George Orwell,Facing Unpleasant Facts,"Honoring the author's mastery of the essay form, brings together such classic works as ""Shooting an Elephant"" with passages from his wartime diary and lesser-known journalistic pieces that weave together the personal and political in studies of his boyhood in an English boarding school and his experiences during the Spanish Civil War.",'History',4.11,10253035,305087,3.0,348,2008
George Orwell,1984 by George Orwell,"It was a bright cold day in April, and the clocks were striking thirteen. Winston Smith, his chin nuzzled into his breast in an effort to escape the vile wind, slipped quickly through the glass doors of Victory Mansions, though not quickly enough to prevent a swirl of gritty dust from entering along with him. The hallway smelt of boiled cabbage and old rag mats. At one end of it a coloured poster, too large for indoor display, had been tacked to the wall. It depicted simply an enormous face, more than a meter wide: the face of a man of about forty-five, with a heavy black moustache and ruggedly handsome features. Winston made for the stairs. It was no use trying the lift. Even at the best of times it was seldom working, and at present the electric current was cut off during daylight hours. It was part of the economy drive in preparation for Hate Week. The flat was seven flights up, and Winston, who was thirty-nine and had a varicose ulcer above his right ankle, went slowly, resting several times on the way. On each landing, opposite the lift-shaft, the poster with the enormous face gazed from the wall. It was one of those pictures which are so contrived that the eyes follow you about when you move. BIG BROTHER IS WATCHING YOU, the caption beneath it ran.",'Fiction',4.11,10253035,305087,5.0,340,1987
George Orwell,Modern Classics Nineteen Eighty Four,"One of the BBC's '100 Novels that Shaped the World' 'Who controls the past controls the future: who controls the present controls the past' Hidden away in the Record Department of the sprawling Ministry of Truth, Winston Smith skilfully rewrites the past to suit the needs of the Party. Yet he inwardly rebels against the totalitarian world he lives in, which demands absolute obedience and controls him through the all-seeing telescreens and the watchful eye of Big Brother, symbolic head of the Party. In his longing for truth and liberty, Smith begins a secret love affair with a fellow-worker Julia, but soon discovers the true price of freedom is betrayal. George Orwell's dystopian masterpiece, Nineteen Eighty-Four is perhaps the most pervasively influential book of the twentieth century.",'Fiction',4.11,10253035,305087,1.0,496,2013
George Orwell,Down and Out in Paris and London,"In ""Down and Out in Paris and London,"" George Orwell intricately weaves a narrative that explores the harrowing realities of poverty and social injustice through his keen observations of life on the margins. The book oscillates between the bustling streets of Paris and the grim atmospheres of London, capturing the essence of transient existence in a tone that is both poignant and satirical. Through vivid descriptions and a memoir-like style, Orwell immerses the reader in the struggles of the destitute, providing a profound social commentary that reflects the socio-economic disparities of the early 20th century. George Orwell, born Eric Arthur Blair, was profoundly influenced by his experiences in the working class, which led him to adopt a politically charged perspective throughout his literary career. His time spent in the slums of London and the impoverished quarters of Paris instilled a deep empathy for the downtrodden, motivating him to highlight the human condition. This autobiographical account not only reveals Orwell's disdain for capitalism but also showcases his commitment to truth and transparency in writing. ""Down and Out in Paris and London"" is essential reading for those seeking to understand the societal structures that perpetuate inequality. With its unflinching honesty and powerful insight, it invites readers to confront the uncomfortable realities of poverty, making it a compelling and thought-provoking exploration that resonates well beyond its time.",'Social Science',4.11,10253035,305087,5.0,228,1950
John Grisham,The Rainmaker,"Abandoning his aspirations about living the good life, Memphis attorney Rudy Baylor fears he will lose everything in the face of a pivotal case that could cost him his life or turn him into the biggest rainmaker in the land. Reprint.",'Fiction',3.97,6712177,266168,5.0,612,1996
John Grisham,A Time for Mercy,"#1 NEW YORK TIMES BESTSELLER • Jake Brigance is back! The hero of A Time to Kill, one of the most popular novels of our time, returns in a “riveting” (The New York Times) courtroom drama from “the best thriller writer alive” (Ken Follett). There is a time to kill and a time for justice. Now comes A Time for Mercy. Clanton, Mississippi. 1990. Jake Brigance finds himself embroiled in a deeply divisive trial when the court appoints him attorney for Drew Gamble, a timid sixteen-year-old boy accused of murdering a local deputy. Many in Clanton want a swift trial and the death penalty, but Brigance digs in and discovers that there is more to the story than meets the eye. Jake’s fierce commitment to saving Drew from the gas chamber puts his career, his financial security, and the safety of his family on the line. Bursting with all the courthouse scheming, small-town intrigue, and stunning plot twists that have become the hallmarks of the master of the legal thriller, A Time for Mercy is a richly rewarding novel that is both timely and timeless, full of wit, drama, and—most of all—heart. Look for all of John Grisham’s gripping Jake Brigance novels: A Time to Kill Sycamore Row A Time for Mercy",'Fiction',3.97,6712177,266168,1.0,3456,2021
John Grisham,Sycamore Row,"In the long-awaited successor to the novel that launched his phenomenal career, John Grisham brings us the powerful sequel to A Time to Kill. As filled with page-turning twists as it is with legal mastery, Sycamore Row proves beyond doubt that John Grisham is in a league of his own. Jake Brigance has never met Seth Hubbard, or even heard of him, until the old man's suicide note names him attorney for his estate. The will is dynamite. Seth has left ninety per cent of his vast, secret fortune to his housemaid. The vultures are circling even before the body is cold: the only subject more incendiary than money in Ford County is race, and this case has both. AS the relatives contest the will, and unscrupulous lawyers hasten to benefit, Jake searches for answers to the many questions left by Seth Hubbard's death: What made him write that last-minute will leaving everything to a poor black woman named Lettie Lang? Why did he choose to kill himself on the desolate piece of land known as Sycamore Row? And what was it that Seth and his brother witnessed as children that, in his words, 'no human should ever see'?",'African American women',3.97,6712177,266168,5.0,754,2010
John Grisham,A Painted House,"Racial tension, a forbidden love affair, and murder are seen through the eyes of a seven-year-old boy in a 1950s Southern cotton-farming community.",'Medical',3.97,6712177,266168,4.0,239,2011
John Grisham,The Street Lawyer,"Michael Brock is billing the hours, making the money, rushing relentlessly to the top of Drake & Sweeney, a giant D.C. law firm. One step away from partnership, Michael has it all. Then, in an instant, it all comes apart.",'Fiction',3.97,6712177,266168,5.0,370,2010
