author_searched,title,description,categories,author_avg_rating,author_rating_count,author_total_reviews,num_pages,book_published_year,book_avg_rating,book_ratings,book_reviews
Michael Connelly,Desert Star,"For years, Harry Bosch has been working a case that haunts him but that he hasn’t been able to crack—the murder of an entire family by a psychopath who still walks free. Ballard makes Bosch an offer: come work with her as a volunteer investigator in the new Open-Unsolved Unit, and he can pursue his “white whale” with the resources of the LAPD behind him.",Crime,4.21,3219028,159493,400,2022,4.48,81367,4359
Stephen King,Mysery,"Paul Sheldon. He's a bestselling novelist who has finally met his biggest fan. Her name is Annie Wilkes and she is more than a rabid reader - she is Paul's nurse, tending his shattered body after an automobile accident. But she is also his captor, keeping him prisoner in her isolated house.",Thriller,4.07,21440043,1080988,370,1987,4.23,818193,33837
Stephen King,The Stand,"First came the days of the plague. Then came the dreams. Dark dreams that warned of the coming of the dark man. The apostate of death, his worn-down boot heels tramping the night roads. The warlord of the charnel house and Prince of Evil. His time is at hand. His empire grows in the west and the Apocalypse looms.",Thriller,4.07,21440043,1080988,430,1978,4.35,818178,33459
Stephen King,Cell,"Graphic artist Clay Riddell was in the heart of Boston on that brilliant autumn afternoon when hell was unleashed before his eyes. Without warning, carnage and chaos reigned. Ordinary people fell victim to the basest, most animalistic destruction.",Thriller,4.07,21440043,1080988,449,2006,3.66,233816,8261
Stephen King,Dreamcatcher,"A quarter of a century later, the boys are men who have gone their separate ways. Though they still get together once a year, to go hunting in the north woods of Maine. But this time is different. This time a man comes stumbling into their camp, lost, disoriented and muttering about lights in the sky.",Fiction,4.07,21440043,1080988,688,2001,3.66,183787,3995
John Grisham,The Rooster Bar,"Mark, Todd, and Zola came to law school to change the world, to make it a better place. But now, as third-year students, these close friends realize they have been duped. They all borrowed heavily to attend a third-tier, for-profit law school so mediocre that its graduates rarely pass the bar exam, let alone get good jobs. And when they learn that their school is one of a chain owned by a shady New York hedge-fund operator who also happens to own a bank specializing in student loans, the three know they have been caught up in The Great Law School Scam.",Crime,3.97,6712177,266168,352,2017,3.65,96980,7941
John Grisham,The Pelican Brief,"To Darby Shaw it was no more than a legal shot in the dark, a brilliant guess. To the Washington establishment it was political dynamite. Suddenly Darby is witness to a murder—a murder intended for her. Going underground, she finds there is only one person she can trust—an ambitious reporter after a newsbreak hotter than Watergate—to help her piece together the deadly puzzle. Somewhere between the bayous of Louisiana and the White House's inner sanctums, a violent cover-up is being engineered. For someone has read Darby's brief. Someone who will stop at nothing to destroy the evidence of an unthinkable crime.",Mystery,3.97,6712177,266168,400,1992,4.06,443451,3977
Blake Crouch,Good Behaviour,"Fresh out of prison and fighting to keep afloat, Letty Dobesh returns to her old tricks burglarizing suites at a luxury hotel. While on the job, she overhears a man hiring a hit man to kill his wife. Letty may not be winning any morality awards, but even she has limits. Unable to go to the police, Letty sets out to derail the job, putting herself on a collision course with the killer that entangles the two of them in a dangerous, seductive relationship.",Crime,4.06,1568698,172722,290,2013,3.91,6810,848
Blake Crouch,Perfect Little Town ,"Ron and Jessica Stahl are a power couple from Southern California, on a Christmas driving holiday in the Colorado mountains. When they stop for the afternoon in sleepy Lone Cone (Pop. 317), they’re charmed by the quaint tourist town which is filled with B&Bs, candy stores, and gift shops.",Mystery,4.06,1568698,172722,87,2010,3.57,2584,232
Blake Crouch,Famous ,"My name is Lancelot Blue Dunkquist, and the best thing about me is, when you doll me up right, I look just like the movie star, James Jansen. Meet Lance. 38-years-old. Works a meaningless job. Still lives above his parents' garage. By all accounts, a world-class loser. Except for one glaring exception... He has a million-dollar face. Lance has been mistaken twenty-eight times for the Oscar-winning movie star, James Jansen, and for the last 10 years, he's saved his money, studied Jansen's films, his moves, his idiosyncrasies, even the way he speaks. Now, after an unceremonious termination from his job, Lance has decided that the time has come to go after his dream. From New York's ridiculous avant-garde, off-off Broadway scene, to the surreal glitter of Los Angeles, follow Lance on his madcap journey of self-abandonment to become his likeness. Part comedy, part human tragedy, and part suspense, the world through the eyes of Lancelot Blue Dunkquist is like none you've ever seen.",Mystery,4.06,1568698,172722,210,2010,3.49,2217,280
Sidney Sheldon,Memories of Midnight,"Shadowed by tragedy and burdened by amnesia, a beautiful woman desperately tries to return to reality. She is Catherine Douglas, destined to once again challenge the cruel, charismatic power of Constantin Demiris, the Greek shipping tycoon who murdered Catherine's husband. Now, in the glittering capitals and carefree playgrounds of post-war Europe, Demiris sets his deadly sights on Catherine -- and the single, treacherous secret whose shattering truth is known to her alone...",Crime,3.88,678654,25137,404,1990,3.75,20554,629
Sidney Sheldon,Morning Noon and Night,"A power revered by presidents and kings, a fortune unsurpassed by few people on earth: all that ended for Harry Stanford the day he mysteriously — and fatally — plunged from his luxury yacht into the Mediterranean Sea. Then, back home in Boston, as the family gathers to grieve for his memory and to war over his legacy, a stunningly beautiful young woman appears. She claims to be Stanford's long-lost daughter and entitled to her share of his estate. Now, flaming with intrigue and passion through the glamorous preserves of the world's super rich, the ultimate game of wits begins, for stakes too dazzling and deadly to imagine.",Thriller,3.88,678654,25137,388,1995,3.7,19443,685
Sidney Sheldon,The Naked Face,"Two people close to Dr. Stevens have already been killed. Is one of his patients responsible? Someone overwhelmed by problems? A neurotic driven by compulsion? A madman? Before the murderer strikes again, Stevens must strip away the mask of innocence the criminal wears, uncover his or her inner emotions, fears, and desires, and expose the naked face beneath. But who could it be?",Mystery,3.88,678654,25137,316,1970,3.58,20970,848
George Orwell,Coming Up for Air,"George Bowling, the hero of Orwell's comic novel, is a middle-aged insurance salesman who lives in an average English suburban row house with a wife and two children. One day, after winning some money from a bet, he goes back to the village where he grew up, to fish for carp in a pool he remembers from thirty years before. The pool, alas, is gone, the village has changed beyond recognition, and the principal event of his holiday is an accidental bombing by the RAF.",Fiction,4.11,10253035,305087,278,1939,3.78,20664,1792
George Orwell,Keep the Aspidistra Flying,"London, 1936. Gordon Comstock has declared war on the money god; and Gordon is losing the war. Nearly 30 and ""rather moth-eaten already,"" a poet whose one small book of verse has fallen ""flatter than any pancake,"" Gordon has given up a ""good"" job and gone to work in a bookshop at half his former salary. Always broke, but too proud to accept charity, he rarely sees his few friends and cannot get the virginal Rosemary to bed because (or so he believes), ""If you have no money ... women won't love you."" On the windowsill of Gordon's shabby rooming-house room is a sickly but unkillable aspidistra--a plant he abhors as the banner of the sort of ""mingy, lower-middle-class decency"" he is fleeing in his downward flight.",Fiction,4.11,10253035,305087,297,1936,3.89,24465,2031
Kristin Hannah,Home Front,"Like many couples, Michael and Jolene Zarkades have to face the pressures of everyday life—children, careers, bills, chores—even as their twelve-year marriage is falling apart. Then a deployment sends Jolene deep into harm's way and leaves defense attorney Michael at home, unaccustomed to being a single parent to their two girls. As a mother, it agonizes Jolene to leave her family, but as a solider, she has always understood the true meaning of duty. In her letters home, she paints a rose-colored version of her life on the front lines, shielding her family from the truth. But war will change Jolene in ways that none of them could have foreseen. When tragedy strikes, Michael must face his darkest fear and fight a battle of his own—for everything that matters to his family.",Romance,4.4,7767962,665021,390,2012,4.26,206665,15558
Kristin Hannah,If You Believe,"Mariah Throckmorton was hiding from a past filled with scandal. Mad Dog Stone was a drifter looking for a few days' work. He walked into her life, threatening Mariah's peace of mind and stirring emotions she tried to hide. Their love was born against all odds, difficult to count on, impossible to hold. Together they would learn the bittersweet truth--that love exists only if you believe. . . .",Romance,4.4,7767962,665021,384,1993,3.67,5057,395
Kristin Hannah,Distant Shores,"Elizabeth and Jackson Shore married young, raised two daughters, and weathered the storms of youth as they built a family. From a distance, their lives look picture perfect. But after the girls leave home, Jack and Elizabeth quietly drift apart. When Jack accepts a wonderful new job, Elizabeth puts her own needs aside to follow him across the country. Then tragedy turns Elizabeth’s world upside down. In the aftermath, she questions everything about her life—her choices, her marriage, even her long-forgotten dreams. In a daring move that shocks her husband, friends, and daughters, she lets go of the woman she has become—and reaches out for the woman she wants to be.",Fiction,4.4,7767962,665021,342,2002,3.8,65394,3489
Kristin Hannah,Between Sisters,"We all make mistakes, but for Meghann Dontess the terrible choice she made some years ago cost her everything, including the love of her sister, Claire. Meghann is now a highly successful attorney, and has put all thoughts of love completely behind her – until she meets the one man who believes he can change her mind.

",Romance,4.4,7767962,665021,428,2003,4.08,109765,5598
Frederick Forsyth,The Deceiver,"As an intrepid and inventive field agent, McCready's independent style has often driven him beyond the rules. He has not been afraid to press the CIA to the explosion point - or to play cat-and-mouse with the KGB. He has successfully tricked Qaddafi and the IRA and once even set himself up as governor of a remote Caribbean island torn between Fidel Castor and the Colombian drug trade.",Espionage,4.1,420205,13368,480,1991,4.06,12047,273
Frederick Forsyth,Great Flying Stories,"Collects some of the best short stories about aviation by this century's greatest writers, including H. G. Wells, Edgar Allen Poe, Sir Arthur Conan Doyle, Len Deighton, J. G. Ballard, and Richard Bach. Reprint.",Fiction,4.1,420205,13368,256,1991,3.48,133,7
Frederick Forsyth,The Emperor,"In this book he condenses his gifts in a series of stories as shocking as they are ingenious, which are small gems in their genre.",Thriller,4.1,420205,13368,50,1982,3.64,288,19
John Green,Will Grayson Will Grayson,"t's not that far from Evanston to Naperville, but Chicago suburbanites Will Grayson and Will Grayson might as well live on different planets. When fate delivers them both to the same surprising crossroads, the Will Graysons find their lives overlapping and hurtling in new and unexpected directions. With a push from friends new and old - including the massive, and massively fabulous, Tiny Cooper, offensive lineman and musical theater auteur extraordinaire - Will and Will begin building toward respective romantic turns-of-heart and the epic production of history's most awesome high school musical.",Fiction,3.98,10789515,491869,320,2010,3.69,409772,21161
John Green,Everything is Tuberculosis,"In 2019, John Green met Henry, a young tuberculosis patient at Lakka Government Hospital in Sierra Leone while traveling with Partners in Health. John became fast friends with Henry, a boy with spindly legs and a big, goofy smile. In the years since that first visit to Lakka, Green has become a vocal and dynamic advocate for increased access to treatment and wider awareness of the healthcare inequities that allow this curable, treatable infectious disease to also be the deadliest, killing 1.5 million people every year.",Nonfiction,3.98,10789515,491869,198,2025,4.42,93425,17278
Agatha Christie,Agatha Christie An Autobiography,"When Agatha Christie died on 12 January 1976, she was known throughout the world as the Queen of Crime, unrivalled as the best-selling novelist of all time with two billion books sold in more than 100 languages. Though she kept her private life a mystery, for some years Agatha had secretly written her autobiography, and when it was published after her death, millions of her fans agreed - this was her best story!",Nonfiction,4.02,7778022,511814,560,1977,4.12,12294,1004
Agatha Christie,Crooked House,"The Leonides are one big happy family living in a sprawling, ramshackle mansion. That is until the head of the household, Aristide, is murdered with a fatal barbiturate injection.",Mystery,4.02,7778022,511814,276,1949,4.08,87965,8703
Agatha Christie,Why Didn't They Ask Evans,"The novel is set in Wales and Hampshire. Bobby Jones finds a man dying at his local golf course. A photo he saw in the man's pocket is replaced, as police seek his identity. Bobby and his friend Lady Frances Derwent have adventures as they solve the mystery of the man's last words: ""Why didn't they ask Evans?""",Crime,4.02,7778022,511814,288,1934,3.91,38603,3069
Rachel Howzell Hall,And Now She's Gone,"It's up to Grayson Sykes to find her. Although she is reluctant to track down a woman who may not want to be found, Gray's search for Isabel Lincoln becomes more complicated and dangerous with every new revelation about the woman's secrets and the truth she's hidden from her friends and family.",Mystery,3.57,93141,9609,381,2020,3.47,5691,951
Rachel Howzell Hall,They All Fall Down ,"Surrounded by miles of open water in the gloriously green Sea of Cortez, Miriam is shocked to discover that she and the rest of her companions have been brought to the remote island under false pretenses—and all seven strangers harbor a secret.",Thriller,3.57,93141,9609,320,2019,2.9,5956,919
