author_searched,title,description,categories,author_avg_rating,author_rating_count,author_total_reviews,num_pages,book_published_year,book_avg_rating,book_ratings,book_reviews
Chimamanda Ngozi Adichie,Notes on Grief,"Expanding on her original New Yorker piece, Adichie shares how this loss shook her to her core. She writes about being one of the millions of people grieving this year; about the familial and cultural dimensions of grief and also about the loneliness and anger that are unavoidable in it. With signature precision of language, and glittering, devastating detail on the page--and never without touches of rich, honest humor--Adichie weaves together her own experience of her father’s death with threads of his life story, from his remarkable survival during the Biafran war, through a long career as a statistics professor, into the days of the pandemic in which he’d stay connected with his children and grandchildren over video chat from the family home in Abba, Nigeria.",Nonfiction,4.31,1299952,119743,86,2021,4.22,37873,5131
Chimamanda Ngozi Adichie,We Should All Be Feminists,"With humor and levity, here Adichie offers readers a unique definition of feminism for the twenty-first century—one rooted in inclusion and awareness. She shines a light not only on blatant discrimination, but also the more insidious, institutional behaviors that marginalize women around the world, in order to help readers of all walks of life better understand the often masked realities of sexual politics. Throughout, she draws extensively on her own experiences—in the U.S., in her native Nigeria, and abroad—offering an artfully nuanced explanation of why the gender divide is harmful for women and men, alike.",Nonfiction,4.31,1299952,119743,52,2012,4.4,321561,31259
Chinua Achebe,Anthills of the Savannah,"Chris, Ikem and Beatrice are like-minded friends working under the military regime of His Excellency, the Sandhurst-educated President of Kangan. In the pressurized atmosphere of oppression and intimidation they are simply trying to live and love - and remain friends. But in a world where each day brings a new betrayal, hope is hard to cling on to. Anthills of the Savannah (1987), Achebe's candid vision of contemporary African politics, is a powerful fusion of angry voices. It continues the journey that Achebe began with his earlier novels, tracing the history of modern Africa through colonialism and beyond, and is a work ultimately filled with hope.",Africa,3.76,453124,27205,240,1987,3.85,4498,315
Chinua Achebe,Chike and the River,"This is a children's book, sweet as a folktalke from the author of Things Fall Apart",Africa,3.76,453124,27205,64,1966,3.83,1255,145
Chinua Achebe,Dead Men's Path,"Dead Men's Path is a short story by the Nigerian writer Chinua Achebe, first published in 1953. The short-story has been noted as an example of cultural conflict.",Africa,3.76,453124,27205,4,1978,3.57,338,46
Michael Connelly,Ressurection Walk,"Defense attorney Mickey Haller is back, taking the long shot cases, where the chances of winning are one in a million. After getting a wrongfully convicted man out of prison, he is inundated with pleas from incarcerated people claiming innocence. He enlists his half brother, retired LAPD Detective Harry Bosch, to weed through the letters, knowing most claims will be false.",Thriller,4.21,3219028,159493,407,2023,4.54,70793,4172
Michael Connelly,The Black Ice,"Narcotics office Cal Moore's orders were to look into the city's latest drug killing. Instead, he ends up in a motel room with a fatal bullet wound to the head and a suicide note stuffed in his back pocket.",Crime,4.21,3219028,159493,439,1993,4.13,92102,3475
Michael Connelly,Desert Star,"For years, Harry Bosch has been working a case that haunts him but that he hasn’t been able to crack—the murder of an entire family by a psychopath who still walks free. Ballard makes Bosch an offer: come work with her as a volunteer investigator in the new Open-Unsolved Unit, and he can pursue his “white whale” with the resources of the LAPD behind him.",Crime,4.21,3219028,159493,400,2022,4.48,81367,4359
Stephen King,Mysery,"Paul Sheldon. He's a bestselling novelist who has finally met his biggest fan. Her name is Annie Wilkes and she is more than a rabid reader - she is Paul's nurse, tending his shattered body after an automobile accident. But she is also his captor, keeping him prisoner in her isolated house.",Thriller,4.07,21440043,1080988,370,1987,4.23,818193,33837
Stephen King,The Stand,"First came the days of the plague. Then came the dreams. Dark dreams that warned of the coming of the dark man. The apostate of death, his worn-down boot heels tramping the night roads. The warlord of the charnel house and Prince of Evil. His time is at hand. His empire grows in the west and the Apocalypse looms.",Thriller,4.07,21440043,1080988,430,1978,4.35,818178,33459
Stephen King,Cell,"Graphic artist Clay Riddell was in the heart of Boston on that brilliant autumn afternoon when hell was unleashed before his eyes. Without warning, carnage and chaos reigned. Ordinary people fell victim to the basest, most animalistic destruction.",Thriller,4.07,21440043,1080988,449,2006,3.66,233816,8261
Stephen King,Dreamcatcher,"A quarter of a century later, the boys are men who have gone their separate ways. Though they still get together once a year, to go hunting in the north woods of Maine. But this time is different. This time a man comes stumbling into their camp, lost, disoriented and muttering about lights in the sky.",Fiction,4.07,21440043,1080988,688,2001,3.66,183787,3995
John Grisham,The Chamber,In the corridors of Chicago's top law firm: Twenty -six-year-old Adam Hall stands on the brink of a brilliant legal career. Now he is risking it all for a death-row killer and an impossible case.,Crime,3.97,6712177,266168,632,1994,3.85,145080,2310
John Grisham,The Firm,"Mitch McDeere is a young, intelligent and ambitious lawyer. When he gets a job with a top tax law firm in Memphis, he is delighted. But he quickly becomes suspicious after mysterious deaths, obsessive office security, and the Chicago mob figure into its operations. The situation only escalates when Mitch discovers that the firm is listening in on his phone calls and that the FBI want to speak to him. Money and power has a price — and it could be Mitch's life.",Mystery,3.97,6712177,266168,76,1991,4.06,635135,4000
John Grisham,The Rooster Bar,"Mark, Todd, and Zola came to law school to change the world, to make it a better place. But now, as third-year students, these close friends realize they have been duped. They all borrowed heavily to attend a third-tier, for-profit law school so mediocre that its graduates rarely pass the bar exam, let alone get good jobs. And when they learn that their school is one of a chain owned by a shady New York hedge-fund operator who also happens to own a bank specializing in student loans, the three know they have been caught up in The Great Law School Scam.",Crime,3.97,6712177,266168,352,2017,3.65,96980,7941
John Grisham,The Pelican Brief,"To Darby Shaw it was no more than a legal shot in the dark, a brilliant guess. To the Washington establishment it was political dynamite. Suddenly Darby is witness to a murder—a murder intended for her. Going underground, she finds there is only one person she can trust—an ambitious reporter after a newsbreak hotter than Watergate—to help her piece together the deadly puzzle. Somewhere between the bayous of Louisiana and the White House's inner sanctums, a violent cover-up is being engineered. For someone has read Darby's brief. Someone who will stop at nothing to destroy the evidence of an unthinkable crime.",Mystery,3.97,6712177,266168,400,1992,4.06,443451,3977
Blake Crouch,Recursion,"That's what New York City cop Barry Sutton is learning, as he investigates the devastating phenomenon the media has dubbed False Memory Syndrome—a mysterious affliction that drives its victims mad with memories of a life they never lived.",Thriller,4.06,1568698,172722,329,2019,4.17,292823,35565
Blake Crouch,Abandon,"One hundred sixteen years later, two backcountry guides are hired by a history professor and his journalist daughter to lead them to the abandoned mining town so they can learn what happened. Recently, a similar party had also attempted to explore the town and was never heard from again. Now the area is believed to be haunted. This crew is about to discover, twenty miles from civilization with a blizzard bearing down, that they are not alone, and the past is very much alive.",Mystery,4.06,1568698,172722,521,2009,3.63,30793,3086
Blake Crouch,Run,A rash of bizarre murders swept the country…Senseless. Brutal. Seemingly unconnected. A cop walked into a nursing home and unloaded his weapons on elderly and staff alike.,Suspense,4.06,1568698,172722,331,2011,3.78,26473,3565
Blake Crouch,Eerie,"On a crisp autumn evening in 1980, seven-year-old Grant Moreton and his five-year-old sister Paige were nearly killed in a mysterious accident in the Cascade Mountains that left them orphans. It's been thirty years since that night. Grant is now a detective with the Seattle Police Department and long estranged from his sister. But his investigation into the bloody past of a high-class prostitute has led right to Paige's door, and what awaits inside is beyond his wildest imagining.",Mystery,4.06,1568698,172722,284,2012,3.62,2697,251
Blake Crouch,Snowbound,"Catastrophe hits when Will and Devlin Innis lose their wife and mother one stormy night on a lonely desert highway. Will under suspicion, they flee. Suddenly a hard-edged FBI agent appears on their doorstep. “I know you’re innocent, because Rachael wasn’t the first ... or the last.”",Mystery,4.06,1568698,172722,309,2010,3.74,10134,775
Blake Crouch,Good Behaviour,"Fresh out of prison and fighting to keep afloat, Letty Dobesh returns to her old tricks burglarizing suites at a luxury hotel. While on the job, she overhears a man hiring a hit man to kill his wife. Letty may not be winning any morality awards, but even she has limits. Unable to go to the police, Letty sets out to derail the job, putting herself on a collision course with the killer that entangles the two of them in a dangerous, seductive relationship.",Crime,4.06,1568698,172722,290,2013,3.91,6810,848
Blake Crouch,Perfect Little Town ,"Ron and Jessica Stahl are a power couple from Southern California, on a Christmas driving holiday in the Colorado mountains. When they stop for the afternoon in sleepy Lone Cone (Pop. 317), they’re charmed by the quaint tourist town which is filled with B&Bs, candy stores, and gift shops.",Mystery,4.06,1568698,172722,87,2010,3.57,2584,232
Blake Crouch,Famous ,"My name is Lancelot Blue Dunkquist, and the best thing about me is, when you doll me up right, I look just like the movie star, James Jansen. Meet Lance. 38-years-old. Works a meaningless job. Still lives above his parents' garage. By all accounts, a world-class loser. Except for one glaring exception... He has a million-dollar face. Lance has been mistaken twenty-eight times for the Oscar-winning movie star, James Jansen, and for the last 10 years, he's saved his money, studied Jansen's films, his moves, his idiosyncrasies, even the way he speaks. Now, after an unceremonious termination from his job, Lance has decided that the time has come to go after his dream. From New York's ridiculous avant-garde, off-off Broadway scene, to the surreal glitter of Los Angeles, follow Lance on his madcap journey of self-abandonment to become his likeness. Part comedy, part human tragedy, and part suspense, the world through the eyes of Lancelot Blue Dunkquist is like none you've ever seen.",Mystery,4.06,1568698,172722,210,2010,3.49,2217,280
Sidney Sheldon,Rage of Angels,"A worldwide bestseller first published in 1980, this novel tells the story of Jennifer Parker, a successful lawyer who is loved by two men, one a politician, the other, a mafia don.",Mystery,3.88,678654,25137,512,1980,3.97,40364,1448
Sidney Sheldon,Bloodline,"Roffe and Sons is a family firm, an international empire filled with desperate, cash-hungry family members. At its head was one of the wealthiest men in the world, a man who has just died in a mysterious accident and left his only daughter, Elizabeth, in control of the company. Now as this intelligent, tough, and beautiful young woman dares to save -- not sell -- Roffe and Sons, she will have to outwit those who secretly want her power, and the unknown assassin who wants her life.",Crime,3.88,678654,25137,409,1977,3.86,34869,1010
Sidney Sheldon,If Tomorrow Comes,"This is a story of intrigue and revenge. Tracy Whitney is young, beautiful and intelligent - and about to marry into wealth and glamour. Until, suddenly, she is betrayed, framed by a ruthless Mafia gang, abandoned by the man she loves. Only her ingenuity saves her and helps her fight back.",Suspense,3.88,678654,25137,501,1985,4.07,69985,2856
Sidney Sheldon,Memories of Midnight,"Shadowed by tragedy and burdened by amnesia, a beautiful woman desperately tries to return to reality. She is Catherine Douglas, destined to once again challenge the cruel, charismatic power of Constantin Demiris, the Greek shipping tycoon who murdered Catherine's husband. Now, in the glittering capitals and carefree playgrounds of post-war Europe, Demiris sets his deadly sights on Catherine -- and the single, treacherous secret whose shattering truth is known to her alone...",Crime,3.88,678654,25137,404,1990,3.75,20554,629
Sidney Sheldon,Morning Noon and Night,"A power revered by presidents and kings, a fortune unsurpassed by few people on earth: all that ended for Harry Stanford the day he mysteriously — and fatally — plunged from his luxury yacht into the Mediterranean Sea. Then, back home in Boston, as the family gathers to grieve for his memory and to war over his legacy, a stunningly beautiful young woman appears. She claims to be Stanford's long-lost daughter and entitled to her share of his estate. Now, flaming with intrigue and passion through the glamorous preserves of the world's super rich, the ultimate game of wits begins, for stakes too dazzling and deadly to imagine.",Thriller,3.88,678654,25137,388,1995,3.7,19443,685
Sidney Sheldon,The Naked Face,"Two people close to Dr. Stevens have already been killed. Is one of his patients responsible? Someone overwhelmed by problems? A neurotic driven by compulsion? A madman? Before the murderer strikes again, Stevens must strip away the mask of innocence the criminal wears, uncover his or her inner emotions, fears, and desires, and expose the naked face beneath. But who could it be?",Mystery,3.88,678654,25137,316,1970,3.58,20970,848
George Orwell,Burmese Days,"Set in the days of the Empire, with the British ruling in Burma, Orwell's book describes corruption and imperial bigotry. Flory, a white timber merchant, befriends Dr Veraswami, a black enthusiast for the Empire, whose downfall can only be prevented by membership at an all-white club.",Fiction,4.11,10253035,305087,276,1934,3.87,31394,2294
George Orwell,Home to Catalonia,"At the height of the Spanish Civil War, George Orwell served from 1936-1937 as a private for the POUM, the Workers' Party of Marxist Unification, an anti-Stalinist communist party. Seriously wounded in action and betrayed by the Communist Party, Orwell and his wife, Eileen, narrowly escaped arrest and returned to England in early summer 1937. Homage to Catalonia is Orwell’s moving account of his experiences during this period, capturing both his commitment to socialist ideals and his criticism of the Communists in Spain.",Nonfiction,4.11,10253035,305087,32,1938,4.09,68646,4753
George Orwell,Coming Up for Air,"George Bowling, the hero of Orwell's comic novel, is a middle-aged insurance salesman who lives in an average English suburban row house with a wife and two children. One day, after winning some money from a bet, he goes back to the village where he grew up, to fish for carp in a pool he remembers from thirty years before. The pool, alas, is gone, the village has changed beyond recognition, and the principal event of his holiday is an accidental bombing by the RAF.",Fiction,4.11,10253035,305087,278,1939,3.78,20664,1792
George Orwell,Keep the Aspidistra Flying,"London, 1936. Gordon Comstock has declared war on the money god; and Gordon is losing the war. Nearly 30 and ""rather moth-eaten already,"" a poet whose one small book of verse has fallen ""flatter than any pancake,"" Gordon has given up a ""good"" job and gone to work in a bookshop at half his former salary. Always broke, but too proud to accept charity, he rarely sees his few friends and cannot get the virginal Rosemary to bed because (or so he believes), ""If you have no money ... women won't love you."" On the windowsill of Gordon's shabby rooming-house room is a sickly but unkillable aspidistra--a plant he abhors as the banner of the sort of ""mingy, lower-middle-class decency"" he is fleeing in his downward flight.",Fiction,4.11,10253035,305087,297,1936,3.89,24465,2031
Kristin Hannah,The Women,"Women can be heroes. When twenty-year-old nursing student Frances “Frankie” McGrath hears these words, it is a revelation. Raised in the sun-drenched, idyllic world of Southern California and sheltered by her conservative parents, she has always prided herself on doing the right thing. But in 1965, the world is changing, and she suddenly dares to imagine a different future for herself. When her brother ships out to serve in Vietnam, she joins the Army Nurse Corps and follows his path.",Fiction,4.4,7767962,665021,471,2024,4.6,1353527,142624
Kristin Hannah,The Great Alone,"Thirteen-year-old Leni, a girl coming of age in a tumultuous time, caught in the riptide of her parents’ passionate, stormy relationship, dares to hope that a new land will lead to a better future for her family. She is desperate for a place to belong. Her mother, Cora, will do anything and go anywhere for the man she loves, even if it means following him into the unknown.",Fiction,4.4,7767962,665021,435,2018,4.45,1086000,978777
Kristin Hannah,The Four Winds,"Texas, 1934. Millions are out of work and a drought has broken the Great Plains. Farmers are fighting to keep their land and their livelihoods as the crops are failing, the water is drying up, and dust threatens to bury them all. One of the darkest periods of the Great Depression, the Dust Bowl era, has arrived with a vengeance.",Fiction,4.4,7767962,665021,464,2021,4.3,908012,82477
Kristin Hannah,A Handful of Heaven ,"Yukon Territory was a gold miner's heaven, and Devon O'Shea had come to claim her share. But instead of a thriving store in a boom town, Devon discovered she was part owner of a filthy, disorganized tent with a bunch of gold diggers and a mountainous slap of animosity for a partner: Stone Man McKenna. Gathering mop, pail and sheer determination, Devon vowed to make this post the best in the Yukon Territory. Stone Man didn't scare her. But his kiss -- a gruff attempt to convince her that the Yukon was no place for a lady -- left her feeling, for the first time in her life, feminine and alive . . .",Romance,4.4,7767962,665021,261,1991,3.71,921,91
Kristin Hannah,Night Road,"Jude Farraday is a happily married, stay-at-home mom who puts everyone’s needs above her own. Her twins, Mia and Zach, are bright and happy teenagers. When Lexi Baill enters their lives, no one is more supportive than Jude. A former foster child with a dark past, Lexi quickly becomes Mia’s best friend. Then Zach falls in love with Lexi and the three become inseparable. But senior year of high school brings unexpected dangers and one night, Jude’s worst fears are confirmed: there is an accident. In an instant, her idyllic life is shattered and her close-knit community is torn apart. People—and Jude—demand justice, and when the finger of blame is pointed, it lands solely on eighteen-year-old Lexi Baill. In a heartbeat, their love for each other will be shattered, the family broken. Lexi gives up everything that matters to her—the boy she loves, her place in the family, the best friend she ever had—while Jude loses even more.",Romance,4.4,7767962,665021,385,2011,4.27,301646,22825
Kristin Hannah,Winter Garden,"Meredith and Nina Whitson are as different as sisters can be. One stayed at home to raise her children and manage the family apple orchard; the other followed a dream and traveled the world to become a famous photojournalist. But when their beloved father falls ill, Meredith and Nina find themselves together again, standing alongside their cold, disapproving mother, Anya, who even now, offers no comfort to her daughters. As children, the only connection between them was the Russian fairy tale Anya sometimes told the girls at night. On his deathbed, their father extracts a promise from the women in his life: the fairy tale will be told one last time—and all the way to the end. Thus begins an unexpected journey into the truth of Anya's life in war-torn Leningrad, more than five decades ago. Alternating between the past and present, Meredith and Nina will finally hear the singular, harrowing story of their mother's life, and what they learn is a secret so terrible and terrifying that it will shake the very foundation of their family and change who they believe they are.",Romance,4.4,7767962,665021,394,2010,4.28,389197,34559
Kristin Hannah,Home Front,"Like many couples, Michael and Jolene Zarkades have to face the pressures of everyday life—children, careers, bills, chores—even as their twelve-year marriage is falling apart. Then a deployment sends Jolene deep into harm's way and leaves defense attorney Michael at home, unaccustomed to being a single parent to their two girls. As a mother, it agonizes Jolene to leave her family, but as a solider, she has always understood the true meaning of duty. In her letters home, she paints a rose-colored version of her life on the front lines, shielding her family from the truth. But war will change Jolene in ways that none of them could have foreseen. When tragedy strikes, Michael must face his darkest fear and fight a battle of his own—for everything that matters to his family.",Romance,4.4,7767962,665021,390,2012,4.26,206665,15558
Kristin Hannah,If You Believe,"Mariah Throckmorton was hiding from a past filled with scandal. Mad Dog Stone was a drifter looking for a few days' work. He walked into her life, threatening Mariah's peace of mind and stirring emotions she tried to hide. Their love was born against all odds, difficult to count on, impossible to hold. Together they would learn the bittersweet truth--that love exists only if you believe. . . .",Romance,4.4,7767962,665021,384,1993,3.67,5057,395
Kristin Hannah,Distant Shores,"Elizabeth and Jackson Shore married young, raised two daughters, and weathered the storms of youth as they built a family. From a distance, their lives look picture perfect. But after the girls leave home, Jack and Elizabeth quietly drift apart. When Jack accepts a wonderful new job, Elizabeth puts her own needs aside to follow him across the country. Then tragedy turns Elizabeth’s world upside down. In the aftermath, she questions everything about her life—her choices, her marriage, even her long-forgotten dreams. In a daring move that shocks her husband, friends, and daughters, she lets go of the woman she has become—and reaches out for the woman she wants to be.",Fiction,4.4,7767962,665021,342,2002,3.8,65394,3489
Kristin Hannah,Between Sisters,"We all make mistakes, but for Meghann Dontess the terrible choice she made some years ago cost her everything, including the love of her sister, Claire. Meghann is now a highly successful attorney, and has put all thoughts of love completely behind her – until she meets the one man who believes he can change her mind.

",Romance,4.4,7767962,665021,428,2003,4.08,109765,5598
Frederick Forsyth,The Day of The Jackal,"One  man with a rifle who can change the course of history. One man whose mission is so secretive not even his employers know his name. And as the minutes count down to the final act of execution, it seems that there is no power on earth that can stop the Jackal.",Mystery,4.1,420205,13368,358,1971,4.27,143027,3374
Frederick Forsyth,The Fourth Protocol,"Professional thief Jim Rawlings breaks into the apartment of a senior civil servant, and unintentionally discovers stolen top secret documents. Although one of the most notorious thieves in London, he is enough of a patriot to anonymously send the documents to MI5 so that they might locate the traitor. In Moscow, British defector Kim Philby drafts a memorandum for the Soviet General Secretary stating that, if the Labour Party wins the next general election in the United Kingdom (scheduled for sometime in the subsequent eighteen months), the ""hard left"" of the party will oust the moderate populist Neil Kinnock in favour of a radical new leader who will adopt a true Marxist-Leninist manifesto, including the expulsion of all American forces from the United Kingdom and the country's withdrawal from and repudiation of NATO. In conjunction with a GRU general, an academic named Krilov, and a master strategist, Philby devises ""Plan Aurora"" to ensure a Labour victory by exploiting the party's support for unilateral disarmament - although it is noted that the strategist, a nuclear physicist and chess Grand Master, has come up with most of the plan's strategy.",Espionage,4.1,420205,13368,443,1984,4.05,35226,491
Frederick Forsyth,The Odessa File,"The suicide of an elderly German Jew explodes into revelation after revelation: a Mafia-like organization called Odessa, a real-life fugitive known at the ""Butcher of Riga"", a young German journalist turned obsessed avenger...and ultimately, of a brilliant, ruthless plot to reestablish the worldwide power of SS mass murders and to carry out Hitler's chilling ""Final Solution.""",Espionage,4.1,420205,13368,334,1972,4.14,62555,1133
Frederick Forsyth,The Deceiver,"As an intrepid and inventive field agent, McCready's independent style has often driven him beyond the rules. He has not been afraid to press the CIA to the explosion point - or to play cat-and-mouse with the KGB. He has successfully tricked Qaddafi and the IRA and once even set himself up as governor of a remote Caribbean island torn between Fidel Castor and the Colombian drug trade.",Espionage,4.1,420205,13368,480,1991,4.06,12047,273
Frederick Forsyth,Great Flying Stories,"Collects some of the best short stories about aviation by this century's greatest writers, including H. G. Wells, Edgar Allen Poe, Sir Arthur Conan Doyle, Len Deighton, J. G. Ballard, and Richard Bach. Reprint.",Fiction,4.1,420205,13368,256,1991,3.48,133,7
Frederick Forsyth,The Emperor,"In this book he condenses his gifts in a series of stories as shocking as they are ingenious, which are small gems in their genre.",Thriller,4.1,420205,13368,50,1982,3.64,288,19
John Green,The Fault in Our Stars,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",Romance,3.98,10789515,491869,313,2012,4.12,5594602,185907
John Green,Paper Town,"Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs into his life—dressed like a ninja and summoning him for an ingenious campaign of revenge—he follows. After their all-nighter ends, and a new day breaks, Q arrives at school to discover that Margo, always an enigma, has now become a mystery. But Q soon learns that there are clues—and they're for him. Urged down a disconnected path, the closer he gets, the less Q sees the girl he thought he knew...",Mystery,3.98,10789515,491869,305,2008,3.7,1467552,58209
John Green,Turtles All The Way Down ,"Aza Holmes never intended to pursue the disappearance of fugitive billionaire Russell Pickett, but there’s a hundred-thousand-dollar reward at stake and her Best and Most Fearless Friend, Daisy, is eager to investigate. So together, they navigate the short distance and broad divides that separate them from Pickett’s son Davis.",Romance,3.98,10789515,491869,290,2017,3.88,628339,56231
John Green,Will Grayson Will Grayson,"t's not that far from Evanston to Naperville, but Chicago suburbanites Will Grayson and Will Grayson might as well live on different planets. When fate delivers them both to the same surprising crossroads, the Will Graysons find their lives overlapping and hurtling in new and unexpected directions. With a push from friends new and old - including the massive, and massively fabulous, Tiny Cooper, offensive lineman and musical theater auteur extraordinaire - Will and Will begin building toward respective romantic turns-of-heart and the epic production of history's most awesome high school musical.",Fiction,3.98,10789515,491869,320,2010,3.69,409772,21161
John Green,Everything is Tuberculosis,"In 2019, John Green met Henry, a young tuberculosis patient at Lakka Government Hospital in Sierra Leone while traveling with Partners in Health. John became fast friends with Henry, a boy with spindly legs and a big, goofy smile. In the years since that first visit to Lakka, Green has become a vocal and dynamic advocate for increased access to treatment and wider awareness of the healthcare inequities that allow this curable, treatable infectious disease to also be the deadliest, killing 1.5 million people every year.",Nonfiction,3.98,10789515,491869,198,2025,4.42,93425,17278
Agatha Christie,Agatha Christie An Autobiography,"When Agatha Christie died on 12 January 1976, she was known throughout the world as the Queen of Crime, unrivalled as the best-selling novelist of all time with two billion books sold in more than 100 languages. Though she kept her private life a mystery, for some years Agatha had secretly written her autobiography, and when it was published after her death, millions of her fans agreed - this was her best story!",Nonfiction,4.02,7778022,511814,560,1977,4.12,12294,1004
Agatha Christie,Crooked House,"The Leonides are one big happy family living in a sprawling, ramshackle mansion. That is until the head of the household, Aristide, is murdered with a fatal barbiturate injection.",Mystery,4.02,7778022,511814,276,1949,4.08,87965,8703
Agatha Christie,Why Didn't They Ask Evans,"The novel is set in Wales and Hampshire. Bobby Jones finds a man dying at his local golf course. A photo he saw in the man's pocket is replaced, as police seek his identity. Bobby and his friend Lady Frances Derwent have adventures as they solve the mystery of the man's last words: ""Why didn't they ask Evans?""",Crime,4.02,7778022,511814,288,1934,3.91,38603,3069
